sample	type	UpInMDS_StrictCutoff
BA2452R	n	-0.2851272451375317
BA2922R	n	-0.08720703651337532
BA2707R	n	-0.07722370051468848
BA2409R	n	0.18024805265826574
BA2480R	n	0.08530629772764749
BA2496R	n	0.4031013935751107
BA3037R	n	-0.21419843440251501
BA2236R	n	0.19271141067914413
BA2172R	n	-0.1436225020542238
BA2865R	n	-0.17153841041861015
BA2923R	n	0.09304787864861483
BA2003R	n	0.11619724526574245
BA2751R	n	-0.19924316076620055
BA3395R	n	0.45228170134995405
BA2286R	n	0.2660294168579498
BA2488R	n	0.06631840976906728
BA3379R	n	0.047924530956644736
BA2887R	n	0.03385397423368128
BA2712R	n	-0.04511138072161574
BA2858R	y	0.5471974129358476
BA2068R	n	-0.08607658870971485
BA2104R	n	0.05844029856023551
BA3124R	n	0.25259843553068123
BA2921R	n	-0.1440430476330419
BA2449R	n	-0.06377275763500087
BA2360R	n	0.0354593215503603
BA2802R	n	0.1358634867972281
BA2235R	n	0.17634356241631974
BA3038R	n	0.19703949998443154
BA3006R	n	-0.13299740893180462
BA2245R	n	-0.18884735995581162
BA2667R	n	0.1666526892460659
BA2239R	n	0.1032838301368518
BA2782R	n	0.06511344353949103
BA2649R	n	0.12357465895620391
BA2592R	y	0.3775500258293712
BA2861R	n	0.2231141590953191
BA2134R	n	0.22485713034749696
BA2909R	n	0.34528463420770844
BA2429R	y	0.2704515158062804
BA2653R	n	0.3365751517080056
BA2947R	n	0.0548941762080255
BA2032R	n	-0.2922503294079183
BA2162R	n	0.29554315029656797
BA2564R	n	0.2953164499292668
BA2597R	y	0.054499243285512526
BA3243R	n	-0.07547881319112618
BA2106R	n	-0.37680365668229726
BA2939R	n	-0.3016770598543988
BA2427R	n	-0.0049014403592810805
BA2841R	n	0.32477396785922674
BA2446R	n	0.20883512361972925
BA2025R	n	-0.03814073073244812
BA2645R	n	-0.07599723189203389
BA2525R	n	-0.09726420584825929
BA2876R	n	0.061519068597103134
BA2357R	n	0.42262218199045215
BA2546R	n	0.3439917371234898
BA2742R	n	-0.09468567523163203
BA2316R	n	-0.03879959463645378
BA2421R	n	0.20879886893218433
BA2087R	n	-0.12739179903171924
BA2910R	n	-0.2792979907167452
BA2148R	n	-0.04853855438186833
BA2329R	n	0.39763869436123683
BA2677R	n	0.29890445223801526
BA3178R	n	-0.3543232628422915
BA2072R	n	0.07857386401392992
BA3029R	n	-0.14339746940082776
BA2735R	n	-0.02550048849005195
